question_id,question_text_th,question_text_en,response_type,encoding
q01,ท่านเคยมีอาการสั่นที่มือ หรือขา โดยมีอาการขณะพักหรืออยู่เฉยๆ,Have you experienced tremor in your hands or legs while at rest?,binary,0=No;1=Yes
q02,ท่านเขียนหนังสือช้าลง หรือเขียนหนังสือตัวเล็กลงกว่าเดิม,Have you noticed that your handwriting has become slower or smaller than before?,binary,0=No;1=Yes
q03,ท่านรู้สึกว่าเคลื่อนไหวช้าลงกว่าเมื่อก่อน เช่น การหวีผม แต่งตัว อาบน้ำ หรือรู้สึกว่าการติดกระดุม หรือเปิดฝาขวดน้ำทำได้ลำบากกว่าเก่า,"Do you feel that your movements have become slower than before, such as combing your hair, dressing, bathing, buttoning clothes, or opening bottle caps?",binary,0=No;1=Yes
q04,เคยมีคนบอกว่าเสียงของท่านเบาลงกว่าเมื่อก่อน หรือผู้ฟังต้องถามซ้ำบ่อยๆ เพราะไม่ได้ยินเสียงท่านพูด,"Have others told you that your voice has become softer than before, or that they often ask you to repeat yourself because they cannot hear you clearly?",binary,0=No;1=Yes
q05,ท่านรู้สึกว่าแขนของท่านแกว่งน้อยลงเวลาเดิน,Do you feel that your arms swing less when you walk?,binary,0=No;1=Yes
q06,ท่านเดินก้าวสั้นๆ และเดินซอยเท้าถี่,Do you walk with shorter steps or a shuffling gait?,binary,0=No;1=Yes
q07,ท่านมีอาการก้าวขาไม่ออก หรือก้าวติดขณะเริ่มต้นออกเดิน หรือขณะเดิน หรือหมุนตัว,"Do you experience difficulty initiating steps or freezing of gait when starting to walk, while walking, or when turning?",binary,0=No;1=Yes
q08,ท่านมีปัญหาพุ่งตัวไปข้างหน้าขณะเดิน ทำให้ก้าวตามไม่ทัน หรือหยุดเดินทันทีได้ยาก,"Do you have a tendency to lean or move forward while walking, making it difficult to keep up your steps or to stop suddenly?",binary,0=No;1=Yes
q09,ท่านมีอาการข้อใดข้อหนึ่งต่อไปนี้ พลิกตัวได้ลำบากเวลานอน หรือลุกจากที่นอนลำบาก หรือหลังจากนั่งลงแล้ว ท่านรู้สึกว่าลุกยาก หรือลุกลำบาก,"Do you have difficulty turning in bed, getting out of bed, or standing up after sitting down?",binary,0=No;1=Yes
q10,มีอาการสั่น เคลื่อนไหวช้า หรือแข็งเกร็งเริ่มที่ข้างใดข้างหนึ่งของร่างกายก่อน,"Did tremor, slowness of movement, or stiffness begin on one side of your body first?",binary,0=No;1=Yes
q11,ท่านทราบว่าตนเองมีอาการพูดออกเสียง หรือตะโกน หรือละเมอ หรือขยับแขนขาที่อาจจะสอดคล้องกับความฝัน หรือตกเตียงขณะนอนหลับ หรือเคยได้รับการบอกจากคู่นอน หรือผู้ดูแล ว่าท่านมีอาการดังกล่าว,"Are you aware of talking, shouting, acting out dreams, moving your limbs, or falling out of bed during sleep, or have you been told by a bed partner or caregiver that you have such behaviors?",binary,0=No;1=Yes
q12,ท่านมีอาการง่วงนอนระหว่างวันมากผิดปกติ หรือผลอยหลับระหว่างขณะทำกิจกรรมเป็นประจำ,Do you experience excessive daytime sleepiness or frequently fall asleep during activities?,binary,0=No;1=Yes
q13,ท่านรู้สึกว่าการได้กลิ่นของท่านลดลง,Do you feel that your sense of smell has decreased?,binary,0=No;1=Yes
q14,ในช่วง 3 เดือนที่ผ่านมา ท่านมีอาการท้องผูกเรื้อรัง โดยถ่ายน้อยกว่า 3 ครั้ง/สัปดาห์,"In the past 3 months, have you had chronic constipation, defined as fewer than three bowel movements per week?",binary,0=No;1=Yes
q15,ท่านมีอาการซึมเศร้า ร้องไห้ง่ายกว่าปกติ หรือขาดความสนใจต่อสิ่งแวดล้อมรอบข้าง หรือสิ่งที่เคยให้ความสนุกสนานในอดีต,"Have you experienced depression, increased tearfulness, or a loss of interest in your surroundings or activities you previously enjoyed?",binary,0=No;1=Yes
q16,ท่านเคยเห็นภาพหลอน หรือได้ยินเสียง โดยที่ไม่มีตัวคน,Have you experienced visual hallucinations or heard sounds when no one was present?,binary,0=No;1=Yes
q17,ท่านมีอาการหน้ามืด มึน หรือเวียนศีรษะ เวลาเปลี่ยนท่าจากนั่งหรือนอนเป็นลุกยืน และอาการมักจะดีขึ้น หรือหายไปหลังจากที่นั่งหรือนอนเป็นประจำ,"Do you feel dizzy or lightheaded when standing up from sitting or lying down, and does it improve after sitting or lying down again?",binary,0=No;1=Yes
q18,ท่านมีปัญหาการควบคุมปัสสาวะ เช่น การกลั้นปัสสาวะไม่ได้ ปัสสาวะคั่งเป็นประจำ,"Do you have problems with bladder control, such as urinary incontinence or urinary retention?",binary,0=No;1=Yes
q19,ท่านมีปัญหาความคิดวิเคราะห์ ความจำ การคำนวณ ที่แย่ลง นานมากกว่า 1 ปีขึ้นไป,"Have you had worsening problems with thinking, memory, or calculation for more than one year?",binary,0=No;1=Yes
q20,ท่านมีปัญหาการทรงตัว หรือหกล้มบ่อย ในระยะแรกที่เกิดอาการ เคลื่อนไหวช้า แข็งเกร็ง หรือสั่น,"Did you have balance problems or frequent falls early in the course of slowness, stiffness, or tremor symptoms?",binary,0=No;1=Yes
